Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
10/27/2015,2015,10,27,1,43,2015-43,57.2,57.2,52,52.2,2400,52.2,-0.093749963,56.14285714,118.766,undefined
10/28/2015,2015,10,28,2,43,2015-43,52.4,56,52.4,55,500,55,0.053639831,56,116.666,undefined
10/29/2015,2015,10,29,3,43,2015-43,55.8,56.4,54.6,55.4,200,55.4,0.007272755,55.9,114.586,undefined
10/30/2015,2015,10,30,4,43,2015-43,53.8,55.6,53.2,54.9,900,54.9,-0.009025271,55.83571429,112.444,undefined
11/2/2015,2015,11,2,0,44,2015-44,57,59,54.9,59,600,59,0.074681209,56.33571429,110.456,undefined
11/3/2015,2015,11,3,1,44,2015-44,61.4,64,61.2,62,2000,62,0.050847458,57.33571429,108.696,undefined
11/4/2015,2015,11,4,2,44,2015-44,63.4,64,60,61.8,1100,61.8,-0.003225819,58.16428571,106.796,undefined
11/5/2015,2015,11,5,3,44,2015-44,61.8,62,59.6,61.8,400,61.8,0,58.46428571,104.868,undefined
11/6/2015,2015,11,6,4,44,2015-44,61.2,63.8,59.62,63.6,100,63.6,0.029126202,58.53571429,102.92,undefined
11/9/2015,2015,11,9,0,45,2015-45,62.6,62.6,59.2,59.2,200,59.2,-0.069182356,58.39285714,100.864,undefined
11/10/2015,2015,11,10,1,45,2015-45,59,63.6,59,62.2,17300,62.2,0.050675675,58.57857143,98.868,undefined
11/11/2015,2015,11,11,2,45,2015-45,59.4,62.4,52.2,58.4,2000,58.4,-0.061093235,58.63571429,96.796,undefined
11/12/2015,2015,11,12,3,45,2015-45,58.4,58.6,55,56.8,1100,56.8,-0.027397299,58.56428571,94.644,undefined
11/13/2015,2015,11,13,4,45,2015-45,55.9,57.2,53.8,56.4,1300,56.4,-0.007042213,58.47857143,92.412,undefined
11/16/2015,2015,11,16,0,46,2015-46,55.2,58,54.2,57.4,1100,57.4,0.017730496,58.85,90.048,undefined
11/17/2015,2015,11,17,1,46,2015-46,58.88,60.1,58.88,59.7,5100,59.7,0.040069672,59.18571429,87.646,undefined
11/18/2015,2015,11,18,2,46,2015-46,61.8,63.8,59.4,62.4,1100,62.4,0.045226143,59.68571429,85.574,undefined
11/19/2015,2015,11,19,3,46,2015-46,58.8,64,58.8,63.8,800,63.8,0.02243586,60.32142857,83.682,undefined
11/20/2015,2015,11,20,4,46,2015-46,64,64,58.8,60.4,2900,60.4,-0.053291501,60.42142857,81.702,undefined
11/23/2015,2015,11,23,0,47,2015-47,59.9,60,59.2,59.2,800,59.2,-0.019867562,60.22142857,79.618,undefined
11/24/2015,2015,11,24,1,47,2015-47,58.9,59,54.4,54.8,7900,54.8,-0.074324349,59.72142857,77.302,undefined
11/25/2015,2015,11,25,2,47,2015-47,52,56.8,52,53.2,12500,53.2,-0.029197053,59.10714286,75.058,undefined
11/27/2015,2015,11,27,4,47,2015-47,56.8,56.8,53.4,53.8,900,53.8,0.011278167,58.40714286,72.722,undefined
11/30/2015,2015,11,30,0,48,2015-48,54,56,53.2,55,1200,55,0.022304847,58.10714286,70.338,undefined
12/1/2015,2015,12,1,1,48,2015-48,54.4,57.6,54.2,56.2,400,56.2,0.021818196,57.67857143,68.19,undefined
12/2/2015,2015,12,2,2,48,2015-48,56.8,56.8,53.4,54.6,800,54.6,-0.028469791,57.40714286,66.188,undefined
12/3/2015,2015,12,3,3,48,2015-48,54.4,55,53.2,54,400,54,-0.010988983,57.20714286,64.152,undefined
12/4/2015,2015,12,4,4,48,2015-48,54.2,55,51.88,53.8,600,53.8,-0.003703718,57.02142857,62.36,undefined
12/7/2015,2015,12,7,0,49,2015-49,51.8,59.2,51.2,53.6,700,53.6,-0.003717486,56.75,60.78,undefined
12/8/2015,2015,12,8,1,49,2015-49,51,55.6,50.2,53.4,1100,53.4,-0.003731286,56.3,59.32,undefined
12/9/2015,2015,12,9,2,49,2015-49,53.4,55.2,51.4,51.4,300,51.4,-0.037453182,55.51428571,58.68,undefined
12/10/2015,2015,12,10,3,49,2015-49,51.2,55.8,48.8,51.32,1300,51.32,-0.001556456,54.62285714,58.1224,undefined
12/11/2015,2015,12,11,4,49,2015-49,48.8,50.4,48,48.4,600,48.4,-0.05689786,53.76571429,57.5384,undefined
12/14/2015,2015,12,14,0,50,2015-50,48.2,49.4,45.6,47.2,200,47.2,-0.024793403,52.90857143,56.9864,undefined
12/15/2015,2015,12,15,1,50,2015-50,46.2,47,45.2,45.2,900,45.2,-0.042372881,52.22285714,56.5024,undefined
12/16/2015,2015,12,16,2,50,2015-50,45,47.8,45,45.2,200,45.2,0,51.65142857,56.1064,undefined
12/17/2015,2015,12,17,3,50,2015-50,45.2,51.6,45,47,400,47,0.039822991,51.16571429,55.8704,undefined
12/18/2015,2015,12,18,4,50,2015-50,48.2,51.8,45.6,51,400,51,0.085106383,50.88,55.7504,undefined
12/21/2015,2015,12,21,0,51,2015-51,48.6,48.6,45.4,48,500,48,-0.058823529,50.29428571,55.5744,undefined
12/22/2015,2015,12,22,1,51,2015-51,49,49.2,45.6,45.6,800,45.6,-0.050000032,49.65142857,55.3704,undefined
12/23/2015,2015,12,23,2,51,2015-51,46,46,44.6,45.22,1400,45.22,-0.008333273,49.02428571,55.2348,undefined
12/24/2015,2015,12,24,3,51,2015-51,48,48.2,46.6,47.8,0,47.8,0.057054355,48.59571429,55.2308,undefined
12/28/2015,2015,12,28,0,52,2015-52,47.58,49,47.58,48.8,100,48.8,0.020920502,48.25285714,55.2028,undefined
12/29/2015,2015,12,29,1,52,2015-52,48.6,48.8,46.4,47.8,300,47.8,-0.020491804,47.85285714,55.0068,undefined
12/30/2015,2015,12,30,2,52,2015-52,46.6,48.6,40.8,44.8,2400,44.8,-0.062761507,47.38142857,54.6508,undefined
12/31/2015,2015,12,31,3,52,2015-52,44.6,48.8,43.2,45.6,1100,45.6,0.017857126,46.97285714,54.3388,undefined
1/4/2016,2016,1,4,0,1,2016-01,48,49,46.6,47.6,200,47.6,0.043859651,46.91571429,54.0988,undefined
1/5/2016,2016,1,5,1,1,2016-01,49.8,51,48.24,50.22,0,50.22,0.055042076,47.13142857,53.9512,undefined
1/6/2016,2016,1,6,2,1,2016-01,48,50,48,48.6,0,48.6,-0.032258118,47.37428571,53.7672,undefined
1/7/2016,2016,1,7,3,1,2016-01,49.8,49.8,46.88,48.8,0,48.8,0.004115242,47.63142857,53.5912,undefined
1/8/2016,2016,1,8,4,1,2016-01,49.6,49.6,47.8,47.8,0,47.8,-0.020491804,47.68857143,53.5032,undefined
1/11/2016,2016,1,11,0,2,2016-02,49.4,49.4,46.6,48.04,0,48.04,0.005020956,47.47714286,53.364,undefined
1/12/2016,2016,1,12,1,2,2016-02,48.04,48.04,48.04,48.04,0,48.04,0,47.48,53.2168,undefined
1/13/2016,2016,1,13,2,2,2016-02,47.8,47.8,46.4,46.8,0,46.8,-0.025811858,47.56571429,53.0548,undefined
1/14/2016,2016,1,14,3,2,2016-02,46,46,41.6,43,200,43,-0.081196566,47.40714286,52.7348,undefined
1/15/2016,2016,1,15,4,2,2016-02,42.6,47,41.6,42,700,42,-0.023255814,46.99285714,52.3348,undefined
1/19/2016,2016,1,19,1,3,2016-03,42.1,42.1,40.4,40.4,0,40.4,-0.038095202,46.39285714,51.9068,undefined
1/20/2016,2016,1,20,2,3,2016-03,40,42.34,40,41,500,41,0.014851447,45.90714286,51.4908,undefined
1/21/2016,2016,1,21,3,3,2016-03,42.2,43,39.4,39.4,100,39.4,-0.039024353,45.52142857,51.0068,undefined
1/22/2016,2016,1,22,4,3,2016-03,39,45,39,39.4,200,39.4,0,45.07857143,50.6108,undefined
1/25/2016,2016,1,25,0,4,2016-04,46.6,47.8,42.24,46,300,46,0.167512645,44.96428571,50.2868,undefined
1/26/2016,2016,1,26,1,4,2016-04,46.6,50.8,46,50.2,300,50.2,0.091304364,44.96285714,50.1228,undefined
1/27/2016,2016,1,27,2,4,2016-04,42.8,45.6,42.8,45.6,0,45.6,-0.09163351,44.74857143,49.8988,undefined
1/28/2016,2016,1,28,3,4,2016-04,43.72,43.72,39.4,41,600,41,-0.100877163,44.19142857,49.5908,undefined
1/29/2016,2016,1,29,4,4,2016-04,43,49.6,43,45.6,400,45.6,0.112195085,44.03428571,49.3548,undefined
2/1/2016,2016,2,1,0,5,2016-05,45,45.8,42.6,42.8,400,42.8,-0.061403494,43.66,49.0168,undefined
2/2/2016,2016,2,2,1,5,2016-05,42.8,42.8,42.8,42.8,0,42.8,0,43.28571429,48.6248,undefined
2/3/2016,2016,2,3,2,5,2016-05,48,48,44.88,46.8,100,46.8,0.093457946,43.28571429,48.2848,undefined
2/4/2016,2016,2,4,3,5,2016-05,45,45.8,45,45.4,0,45.4,-0.029914481,43.45714286,47.9848,undefined
2/5/2016,2016,2,5,4,5,2016-05,46.2,46.2,45,45,0,45,-0.008810606,43.67142857,47.7008,undefined
2/8/2016,2016,2,8,0,6,2016-06,45.8,45.8,39.8,40.4,100,40.4,-0.102222188,43.67142857,47.4128,undefined
2/9/2016,2016,2,9,1,6,2016-06,44.9,44.9,40.6,40.6,0,40.6,0.004950419,43.64285714,47.1608,undefined
2/10/2016,2016,2,10,2,6,2016-06,41.4,42,39.4,39.4,0,39.4,-0.029556576,43.64285714,46.8728,undefined
2/11/2016,2016,2,11,3,6,2016-06,46.4,46.4,40.2,40.2,0,40.2,0.020304548,43.7,46.5768,undefined
2/12/2016,2016,2,12,4,6,2016-06,40.44,45.8,40.44,42.4,100,42.4,0.054726386,43.44285714,46.3008,undefined
2/16/2016,2016,2,16,1,7,2016-07,42.6,45.2,41.6,41.6,0,41.6,-0.018867996,42.82857143,46.0408,undefined
2/17/2016,2016,2,17,2,7,2016-07,41,46,41,46,0,46,0.105769271,42.85714286,45.8808,undefined
2/18/2016,2016,2,18,3,7,2016-07,45.8,46,43.8,43.8,0,43.8,-0.047826104,43.05714286,45.6808,undefined
2/19/2016,2016,2,19,4,7,2016-07,46,48,45.52,45.52,200,45.52,0.039269435,43.05142857,45.5192,undefined
2/22/2016,2016,2,22,0,8,2016-08,48,48,43.6,43.6,0,43.6,-0.042179305,43.10857143,45.3232,undefined
2/23/2016,2016,2,23,1,8,2016-08,44,48.6,43.2,43.2,0,43.2,-0.00917426,43.13714286,45.1592,undefined
2/24/2016,2016,2,24,2,8,2016-08,48,48,43.4,44,0,44,0.018518501,42.93714286,45.0128,undefined
2/25/2016,2016,2,25,3,8,2016-08,47.6,47.8,43.2,46.3,100,46.3,0.05227271,43.00142857,44.9708,undefined
2/26/2016,2016,2,26,4,8,2016-08,47.4,51.2,47.4,49.8,300,49.8,0.075593954,43.34428571,45.0228,undefined
